Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2020-01-29,297.76,0.0061,44.82,12201.5,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,12129.5,
2020-01-30,294.1,-0.0077,37.54,12189.18,1886.25,500.0,386.25,1886.25,6.4136,6.4136,1886.25,12035.8,inf
2020-01-31,291.88,-0.0061,29.3,12175.96,1556.17,250.0,306.17,3442.42,5.3315,11.7452,3428.18,11962.1,0.8174579191517561
2020-02-01,285.96,-0.0251,19.68,12159.4,2380.01,125.0,1255.01,5822.42,8.3229,20.068,5738.65,11661.85,0.6739640275598131
2020-02-03,283.36,0.0039,23.12,12142.14,0.0,1125.0,0.0,5822.42,0.0,20.068,5686.48,11707.9,-0.009090988298641633
2020-02-04,289.33,0.0232,36.96,12139.86,0.0,2125.0,0.0,5822.42,0.0,20.068,5806.28,11979.65,0.021067514525682007
2020-02-05,291.48,0.0091,41.5,12133.52,0.0,3125.0,0.0,5822.42,0.0,20.068,5849.43,12089.15,0.007431608534207879
2020-02-06,294.8,0.004,47.05,12127.58,0.0,4125.0,0.0,5822.42,0.0,20.068,5916.06,12137.95,0.011390853467773798
2020-02-07,299.18,-0.0033,47.54,12116.02,0.0,5125.0,163.12,5822.42,0.0,20.068,6003.95,12098.35,0.014856171167973109
2020-02-10,298.0,-0.0055,47.41,12099.48,0.0,6125.0,276.28,5822.42,0.0,20.068,5980.27,12031.5,-0.00394407015381526
2020-02-11,298.08,0.0063,47.52,12087.71,0.0,7125.0,0.0,5822.42,0.0,20.068,5981.88,12107.9,0.00026921861387529944
2020-02-12,297.51,0.0077,48.42,12080.0,0.0,8125.0,0.0,5822.42,0.0,20.068,5970.44,12201.2,-0.0019124422422382992
2020-02-13,296.2,-0.0022,52.01,12071.11,0.0,9125.0,108.8,5822.42,0.0,20.068,5944.15,12174.65,-0.004403360556340941
2020-02-14,294.04,-0.005,52.09,12065.56,0.0,10125.0,251.34,5822.42,0.0,20.068,5900.8,12113.45,-0.0072928846008258885
2020-02-17,291.06,-0.0056,46.96,12059.35,0.0,11125.0,279.24,5822.42,0.0,20.068,5841.0,12045.8,-0.01013421908893708
2020-02-18,289.78,-0.0044,48.38,12053.63,0.0,12125.0,221.24,5822.42,0.0,20.068,5815.31,11992.5,-0.004398219482965149
2020-02-19,293.7,0.0111,55.87,12050.91,0.0,13125.0,0.0,5822.42,0.0,20.068,5893.98,12125.9,0.013528083627527776
2020-02-20,296.02,-0.0037,68.39,12042.54,0.0,14125.0,185.76,5822.42,0.0,20.068,5940.54,12080.85,0.007899585678946996
2020-02-24,290.89,-0.0208,54.52,12028.06,0.0,15125.0,1040.7,5822.42,0.0,20.068,5837.59,11829.4,-0.017330074370343396
2020-02-25,288.04,-0.0027,41.77,12015.16,8695.64,7562.5,133.14,14518.07,30.189,50.257,14476.04,11797.9,1.4797973136174347
2020-02-26,284.26,-0.0101,31.58,11992.62,5287.27,3781.25,506.02,19805.34,18.6001,68.8572,19573.34,11678.5,0.3521197786134882
2020-02-27,284.31,-0.0039,27.29,11972.49,3084.14,1890.62,193.52,22889.48,10.8478,79.705,22660.92,11633.3,0.15774415608169057
2020-02-28,274.26,-0.0371,20.17,11934.47,3800.12,945.31,1854.8,26689.6,13.8559,93.5609,25660.01,11201.75,0.13234634780935628
2020-03-02,273.6,-0.0062,20.14,11908.02,1780.64,472.66,307.99,28470.24,6.5082,100.0691,27378.9,11132.75,0.06698711341110175
2020-03-03,278.76,0.0153,24.84,11887.79,0.0,1472.66,0.0,28470.24,0.0,100.0691,27895.26,11303.3,0.018859778880816913
2020-03-04,275.84,-0.0046,19.51,11851.36,1967.68,736.33,231.35,30437.92,7.1334,107.2025,29570.73,11251.0,0.060062892405376545
2020-03-05,277.38,0.0016,20.78,11810.35,0.0,1736.33,0.0,30437.92,0.0,107.2025,29735.82,11269.0,0.005582885508744528
2020-03-06,272.7,-0.0248,18.21,11752.92,3108.51,868.16,1240.35,33546.43,11.399,118.6015,32342.63,10989.45,0.08766565038394769
2020-03-09,267.7,-0.049,14.38,11670.58,3881.88,434.08,2447.8,37428.32,14.5009,133.1024,35631.51,10451.45,0.10168870002223085
2020-03-11,260.84,0.0007,15.01,11591.92,0.0,1434.08,0.0,37428.32,0.0,133.1024,34718.42,10458.4,-0.025625913692683966
2020-03-12,244.53,-0.083,6.68,11466.04,5868.01,717.04,4150.97,43296.33,23.9971,157.0995,38415.54,9590.15,0.10648871694046003
2020-03-13,259.47,0.0381,17.26,11353.74,0.0,1717.04,0.0,43296.33,0.0,157.0995,40762.6,9955.2,0.061096629124567814
2020-03-16,262.39,-0.0761,14.94,11204.87,5664.57,858.52,3806.05,48960.9,21.5884,178.6878,46885.9,9197.4,0.15021858272043498
2020-03-17,240.9,-0.025,14.18,11047.55,2681.52,429.26,1252.26,51642.42,11.1312,189.8191,45727.42,8967.05,-0.024708494451423646
2020-03-18,226.63,-0.0556,12.94,10868.7,3992.86,214.63,2778.23,55635.27,17.6184,207.4375,47011.56,8468.8,0.028082494048428774
2020-03-19,216.65,-0.0242,12.48,10682.25,2319.71,107.32,1212.39,57954.98,10.7072,218.1446,47261.04,8263.45,0.005306779864356903
2020-03-20,219.28,0.0583,22.96,10513.23,0.0,1107.32,0.0,57954.98,0.0,218.1446,47834.76,8745.45,0.012139385845085116
2020-03-23,204.45,-0.1298,18.59,10289.7,8043.89,553.66,6490.23,65998.87,39.344,257.4887,52643.56,7610.25,0.10052940581284386
2020-03-24,197.99,0.0251,18.88,10088.28,0.0,1553.66,0.0,65998.87,0.0,257.4887,50980.18,7801.05,-0.03159702725271618
2020-03-25,210.15,0.0662,25.93,9914.28,0.0,2553.66,0.0,65998.87,0.0,257.4887,54111.25,8317.85,0.06141739789855594
2020-03-26,215.86,0.0389,29.47,9762.42,0.0,3553.66,0.0,65998.87,0.0,257.4887,55581.51,8641.45,0.027171059622536964
2020-03-27,217.57,0.0022,31.02,9613.77,0.0,4553.66,0.0,65998.87,0.0,257.4887,56021.81,8660.25,0.007921699140595484
2020-03-30,217.91,-0.0438,31.85,9467.74,5465.85,2276.83,2189.02,71464.72,25.0831,282.5718,61575.21,8281.1,0.09912924984037463
2020-03-31,220.05,0.0382,35.2,9340.99,0.0,3276.83,0.0,71464.72,0.0,282.5718,62179.92,8597.75,0.009820672962381982
2020-04-01,219.35,-0.04,38.41,9188.52,4638.65,1638.41,2000.23,76103.37,21.1472,303.719,66620.76,8253.8,0.07141919770884231
2020-04-03,214.43,-0.0206,33.2,9030.16,2849.04,819.21,1029.83,78952.41,13.2866,317.0056,67975.5,8083.8,0.020335102751754874
2020-04-07,233.04,0.0876,46.33,8906.31,0.0,1819.21,0.0,78952.41,0.0,317.0056,73874.98,8792.2,0.08678832814764137
2020-04-08,233.17,-0.0049,47.95,8794.28,0.0,2819.21,247.09,78952.41,0.0,317.0056,73916.19,8748.75,0.0005578343303782596
2020-04-09,240.28,0.0415,56.19,8727.3,0.0,3819.21,0.0,78952.41,0.0,317.0056,76170.1,9111.9,0.030492778375075913
2020-04-13,233.6,-0.013,57.15,8654.08,0.0,4819.21,647.78,78952.41,0.0,317.0056,74052.5,8993.85,-0.027800935012557537
2020-04-15,244.15,-0.0076,51.91,8620.83,0.0,5819.21,381.09,78952.41,0.0,317.0056,77396.91,8925.3,0.045162688633064496
2020-04-16,243.05,0.0076,69.05,8572.71,0.0,6819.21,0.0,78952.41,0.0,317.0056,77048.2,8992.8,-0.004505477027442084
2020-04-17,247.71,0.0305,69.74,8576.18,0.0,7819.21,0.0,78952.41,0.0,317.0056,78525.45,9266.75,0.019173063095568654
2020-04-20,246.42,-0.0005,64.75,8590.92,0.0,8819.21,26.44,78952.41,0.0,317.0056,78116.51,9261.85,-0.005207738382906446
2020-04-21,240.22,-0.0303,55.39,8616.55,0.0,9819.21,1513.74,78952.41,0.0,317.0056,76151.07,8981.45,-0.025160366227318542
2020-04-22,241.87,0.0229,57.88,8662.74,0.0,10819.21,0.0,78952.41,0.0,317.0056,76674.13,9187.3,0.006868715042349427
2020-04-23,245.3,0.0138,66.7,8691.17,0.0,11819.21,0.0,78952.41,0.0,317.0056,77761.46,9313.9,0.014181184709888495
2020-04-24,242.85,-0.0171,59.49,8768.38,0.0,12819.21,856.25,78952.41,0.0,317.0056,76984.8,9154.4,-0.009987723995922959
2020-04-27,243.88,0.014,68.92,8842.44,0.0,13819.21,0.0,78952.41,0.0,317.0056,77311.32,9282.3,0.004241356735355639
2020-04-28,243.65,0.0106,74.5,8895.59,0.0,14819.21,0.0,78952.41,0.0,317.0056,77238.4,9380.9,-0.0009431995211052202
2020-04-29,246.74,0.0184,68.03,8941.19,0.0,15819.21,0.0,78952.41,0.0,317.0056,78217.95,9553.35,0.012682163276297898
2020-04-30,250.36,0.0321,73.4,9001.17,0.0,16819.21,0.0,78952.41,0.0,317.0056,79365.51,9859.9,0.01467131265905075
2020-05-04,238.78,-0.0574,53.52,9051.79,0.0,17819.21,2872.24,78952.41,0.0,317.0056,75694.59,9293.5,-0.04625334102937151
2020-05-05,238.34,-0.0095,54.16,9082.18,0.0,18819.21,472.91,78952.41,0.0,317.0056,75555.1,9205.6,-0.0018428001261383553
2020-05-06,238.41,0.0071,56.79,9133.04,0.0,19819.21,0.0,78952.41,0.0,317.0056,75577.29,9270.9,0.00029369294726611095
2020-05-07,238.13,-0.0078,54.05,9188.8,0.0,20819.21,387.5,78952.41,0.0,317.0056,75488.53,9199.05,-0.0011744268681768144
2020-05-08,238.83,0.0057,49.67,9211.76,0.0,21819.21,0.0,78952.41,0.0,317.0056,75710.44,9251.5,0.0029396518914861502
2020-05-11,238.65,-0.0013,49.51,9236.28,0.0,22819.21,66.48,78952.41,0.0,317.0056,75653.38,9239.2,-0.0007536609217961843
